CMP2100,多彩１/主総Ａ１,文化を生きる,後藤　隆基,秋,月,４ MB01,池袋,,
CMP2100,多彩１/主総Ａ１,文化を生きる,佐久間　由梨,春,月,４ 5122,池袋,,
CMP2200,多彩２/主総Ａ２,フランス語圏の社会,羽生　敦子,春,月,４ 8101,池袋,,
CMP2100,多彩１,歴史への扉,佐藤　雄基,秋,月,４ 7101,池袋,,
CMP2660,多彩６,ＲＳＬ－コミュニティ（埼玉）,田中　聡一郎,秋,月,５ 5304,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,アジア地域での平和構築,福島　みのり,春,月,５ A203,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,音楽の中のキリスト教,長岡　英,春,月,５ N853,新座,2016年度以降1年次入学者対象科目,
CMP2500,多彩５/主総Ａ５,化学と自然,渡邉　永治,春,月,５ X201,池袋,,
CMP1100,学び精神,キリスト教史に学ぶ多文化共生,藤崎　衛,春,月,５ M302,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,芸術への扉,黒岩　三恵,春,月,５ X204,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,芸術への扉,櫻井　一成,秋,月,５ 8304,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,現代心理学からの学び,田崎　英明,春,月,５ D401,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,経営学への招待,濵沖　典之,秋,月,５ N333,新座,2016年度以降1年次入学者対象科目,
CMP2200,多彩２/主総Ａ２,景気･格差問題と統計情報,坂田　大輔,秋,月,５ MB01,池袋,,
CMP1100,学び精神,人文学からの学び（史学）,大谷　哲,春,月,５ N331,新座,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,思想を生み出すキリスト教,鈴木　昇司,春,月,５ N213,新座,2016年度以降1年次入学者対象科目,
CMP2400,多彩４,スポーツとメディア,宮村　淳,秋,月,５ 4402,池袋,,
CMP2200,多彩２/主総Ａ２,世界の中のロシア,小森　宏美,春,月,５ D201,池袋,,
CMP2400,多彩４/主総Ａ４,対人関係の心理,三浦　由美子,春,月,５ MB01,池袋,,
CMP2200,多彩２/主総Ａ２,統計情報で社会･経済を診断する,坂田　大輔,春,月,５ 5122,池袋,,
CMP2100,多彩１/主総Ａ１,日本文化と精神性,佐々木　一也,秋,月,５ 8202,池袋,,
CMP2501,多彩５/主Ａ５,Nature of the Earth,ホーン，Ｅ．,秋,池袋,,
CMP2350,多彩３/主総Ａ３,美術論演習,奈良澤　由美,秋,月,５ 1103,池袋,,
CMP2100,多彩１,仏教の世界,安原　眞琴,秋,月,５ N313,新座,,
CMP3100,多彩１,立教ゼミナール発展編　１,出口　汪,春,月,５ 7301,池袋,,
CMP3300,多彩３,立教ゼミナール発展編　３,川口　幸也,秋,月,５ 7301,池袋,,
CMP2400,多彩４/主総Ａ４,アンチエイジングの科学,神野　宏司,秋,火,１ 5122,池袋,,
CMP2200,多彩２,いのちの尊厳と福祉を考える,木下　武徳,春,火,１ MB01,池袋,,
CMP1100,学び精神,キャリアデザイン,久保　隆光,春,火,１ M301,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,現代文化からみる学び,阿部　治,秋,火,１ X204,池袋,2016年度以降1年次入学者対象科目,
CMP2200,多彩２/主総Ａ２,国際情勢を読み解く,池上　彰,春,火,１ 8202,池袋,,
CMP1100,学び精神,人文学からの学び（文学）,井出　万秀,春,火,１ 8304,池袋,2016年度以降1年次入学者対象科目/,
CMP1100,学び精神/総合自由,ＧＬ１０１,鄭　秀娟,秋,火,１ N433,新座,経営学部所属学生履修不可/2016年度以降1年次入学者：学びの精神科目/2012～2015年度1年次入学者：総合自由科目,
CMP1220,スポーツ,スポーツスタディ２(セルフケア･エクササイズ),杉本　亮子,春,火,１ P401,池袋,,
CMP1220,スポーツ,スポーツスタディ２(セルフケア･エクササイズ),杉本　亮子,秋,火,１ P401,池袋,,
CMP2400,多彩４/主総Ａ４,スポーツと社会,後藤　光将,春,火,１ N431,新座,,
CMP1210,スポーツ,スポーツプログラムＢ(ソフトボール),柳田　信也,春,火,１ NZA1,新座,,
CMP1210,スポーツ,スポーツプログラムＢ(トレーニング初級),村本　伸幸,春,火,１ PB12,池袋,,
CMP1210,スポーツ,スポーツプログラムＧ(テニス),後藤　光将,秋,火,１ NZT1,新座,,
CMP1210,スポーツ,スポーツプログラムＧ(バレーボール),村本　伸幸,秋,火,１ PB21,池袋,,
CMP2200,多彩２/主総Ａ２,世界経済と日本,山中　達也,秋,火,１ 7101,池袋,,
CMP2100,多彩１/主総Ａ１,多文化の世界,大塚　直樹,春,火,１ N331,新座,,
CMP2100,多彩１/主総Ａ１,多文化の世界,木村　自,春,火,１ 5121,池袋,,
CMP1100,学び精神,伝統と革新の大学図書館,牛崎　進,春,火,１ A203,池袋,2016年度以降1年次入学者対象科目,
CMP2300,多彩３/主総Ａ３,美術と社会,黒岩　三恵,春,火,１ 4402,池袋,,
CMP1100,学び精神,法と政治の世界,松田　宏一郎,秋,火,１ X304,池袋,2016年度以降1年次入学者対象科目/法学部所属学生随意科目（卒業要件単位に含むことはできない）,
CMP1100,学び精神,法と政治の世界,幡野　弘樹,秋,火,１ M302,池袋,2016年度以降1年次入学者対象科目/法学部所属学生随意科目（卒業要件単位に含むことはできない）,
CMP2100,多彩１,歴史への扉,高林　陽展,秋,火,１ 8202,池袋,,
CMP2400,多彩４/主総Ａ４,アンチエイジングの科学,神野　宏司,春,火,２ N313,新座,,
CMP2500,多彩５/主総Ａ５,宇宙の科学,須田　拓馬,春,火,２ 7101,池袋,,
CMP2431,多彩４/主総Ａ４,Japanese Mind,ライトナー,秋,火,２ 1202,池袋,,
CMP2350,多彩３/主総Ａ３,音楽論演習,増野　亜子,春,火,２ N853,新座,,
CMP2100,多彩１,教育学への扉,越川　葉子,秋,火,２ N212,新座,,
CMP2200,多彩２/主総Ａ２,景気･格差問題と統計情報,坂田　大輔,秋,火,２ N321,新座,,
CMP2400,多彩４/主総Ａ４,健康の科学,高橋　健太郎,春,火,２ MB01,池袋,,
CMP2500,多彩５/主総Ａ５,行動の科学,近藤　紀子,秋,火,２ N852,新座,,
CMP1100,学び精神,国際社会の中の宗教,小野　仁美,春,火,２ N852,新座,2016年度以降1年次入学者対象科目,
CMP2400,多彩４/主総Ａ４,心の健康,岡島　義,春,火,２ N312,新座,,
CMP2500,多彩５/主Ａ５,情報科学Ａ,古賀　ひろみ,春,火,２ N215,新座,,
CMP2500,多彩５/主Ａ５,情報科学Ｂ,古賀　ひろみ,秋,火,２ N215,新座,,
CMP2100,多彩１,人権思想の根源,岩川　ありさ,春,火,２ N636,新座,,
CMP1100,学び精神,人文学からの学び（史学）,明田川　融,春,火,２ 8202,池袋,2016年度以降1年次入学者対象科目,
CMP1100,学び精神,思想を生み出すキリスト教,廣石　望,春,火,２ 8303,池袋,2016年度以降1年次入学者対象科目,
