id,name,price,explanation,course_id,created_at,updated_at,author,publisher,published_year,isbn_10,isbn_13,issn_13,book_code,url,textbook_status,small_thumbnail,thumbnail,info_link
1072,『言語学入門』  ,,これから言語学を始める人のための入門書,2287,2017-03-26 17:12:02 UTC,2017-06-05 09:29:51 UTC,佐久間淳一他 ,研究社 ,2004 ,4327401382,9784327401382,,none,"",published,http://books.google.com/books/content?id=-r0rGcP6cJ0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=-r0rGcP6cJ0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.jp/books?id=-r0rGcP6cJ0C&dq=title:%E3%80%8E%E8%A8%80%E8%AA%9E%E5%AD%A6%E5%85%A5%E9%96%80%E3%80%8F+%C2%A0%3Fq%3Dauthors:%E4%BD%90%E4%B9%85%E9%96%93%E6%B7%B3%E4%B8%80%E4%BB%96%C2%A0&hl=&source=gbs_api
1073,日常から考えるコミュニケーション学  ,,立ち止まり、日常を振り返る。私たちと他者とをつなぐ「メディア」の分析を通して、コミュニケーション学とは何かを学ぶ。,2288,2017-03-26 17:12:03 UTC,2017-06-05 09:29:53 UTC,池田理知子 ,ナカニシヤ出版 ,2015 ,4779510015,9784779510014,,97847795100140,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784779510014,published,http://books.google.com/books/content?id=bQQKjwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=bQQKjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=bQQKjwEACAAJ&dq=isbn:9784779510014&hl=&source=gbs_api
1074,日常から考えるコミュニケーション学  ,,立ち止まり、日常を振り返る。私たちと他者とをつなぐ「メディア」の分析を通して、コミュニケーション学とは何かを学ぶ。,2289,2017-03-26 17:12:05 UTC,2017-06-05 09:29:54 UTC,池田理知子 ,ナカニシヤ出版 ,2015 ,4779510015,9784779510014,,97847795100140,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784779510014,published,http://books.google.com/books/content?id=bQQKjwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=bQQKjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=bQQKjwEACAAJ&dq=isbn:9784779510014&hl=&source=gbs_api
1075,はじめての英語教育研究  ,,none,2291,2017-03-26 17:12:09 UTC,2017-06-05 09:29:56 UTC,浦野研他 ,研究社 ,2016 ,0,0,,97843274219770,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784327421977,published,none,none,none
1076,ベーシック新しい英語学概論  ,,none,2292,2017-03-26 17:12:11 UTC,2017-06-05 09:29:58 UTC,平賀正子 ,ひつじ書房 ,２０１６ ,4502281107,9784502281105,,none,"",published,http://books.google.com/books/content?id=PyL3PgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=PyL3PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=PyL3PgAACAAJ&dq=title:%E3%83%99%E3%83%BC%E3%82%B7%E3%83%83%E3%82%AF%E6%96%B0%E3%81%97%E3%81%84%E8%8B%B1%E8%AA%9E%E5%AD%A6%E6%A6%82%E8%AB%96+%C2%A0%3Fq%3Dauthors:%E5%B9%B3%E8%B3%80%E6%AD%A3%E5%AD%90%C2%A0&hl=&source=gbs_api
1077,An Introduction to Linguistic Theory and Language Acquisition  ,,none,2294,2017-03-26 17:12:14 UTC,2017-06-05 09:30:00 UTC,Crain and Lillo-Martin ,Blackwell ,1999 ,0,0,,none,"",published,none,none,none
1078,『ベーシック新しい英語学概論』  ,,none,2295,2017-03-26 17:12:17 UTC,2017-06-05 09:30:01 UTC,平賀正子 ,ひつじ書房 ,2016 ,4502281107,9784502281105,,none,"",published,http://books.google.com/books/content?id=PyL3PgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=PyL3PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=PyL3PgAACAAJ&dq=title:%E3%80%8E%E3%83%99%E3%83%BC%E3%82%B7%E3%83%83%E3%82%AF%E6%96%B0%E3%81%97%E3%81%84%E8%8B%B1%E8%AA%9E%E5%AD%A6%E6%A6%82%E8%AB%96%E3%80%8F+%C2%A0%3Fq%3Dauthors:%E5%B9%B3%E8%B3%80%E6%AD%A3%E5%AD%90%C2%A0&hl=&source=gbs_api
1079,Linguistics: An Introduction (Second Edition)  ,,A fresh and contemporary introductory textbook for all students of linguistics and language studies.,2300,2017-03-26 17:12:26 UTC,2017-06-05 09:30:03 UTC,"McGregor, W. B.  ",Bloomsbury ,2015 ,9780567583529,056758352X,,97805675835290,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9780567583529,published,http://books.google.com/books/content?id=gAe3BgAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=gAe3BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=gAe3BgAAQBAJ&dq=isbn:9780567583529&hl=&source=gbs_api
1080,The Folk Performing Arts: Traditional Culture in Contemporary Japan  ,,Addresses issues concerning the survival and preservation of traditional culture by examining Japan's folk performing arts and the public policies that affect them.,2306,2017-03-26 17:12:37 UTC,2017-06-05 09:32:05 UTC,Barbara E. Thornbury ,State University of New York Press ,1997 ,0791432564,9780791432563,,07914325640,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:0791432564,published,http://books.google.com/books/content?id=MqQ1UTgxLSMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=MqQ1UTgxLSMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.jp/books?id=MqQ1UTgxLSMC&dq=isbn:0791432564&hl=&source=gbs_api
1081,戦略的リスクマネジメントで会社を強くする  ,,会計基準の最新の国際動向をフォローして補訂。会計の「なぜ」を考え、本質を理解する!,2327,2017-03-26 17:21:46 UTC,2017-06-05 09:32:07 UTC,野田健太郎 ,中央経済社 ,2017 ,4641164770,9784641164772,,978450221761630340,"",published,http://books.google.com/books/content?id=nfLzjwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=nfLzjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=nfLzjwEACAAJ&dq=title:%E6%88%A6%E7%95%A5%E7%9A%84%E3%83%AA%E3%82%B9%E3%82%AF%E3%83%9E%E3%83%8D%E3%82%B8%E3%83%A1%E3%83%B3%E3%83%88%E3%81%A7%E4%BC%9A%E7%A4%BE%E3%82%92%E5%BC%B7%E3%81%8F%E3%81%99%E3%82%8B+%C2%A0%3Fq%3Dauthors:%E9%87%8E%E7%94%B0%E5%81%A5%E5%A4%AA%E9%83%8E%C2%A0&hl=&source=gbs_api
